Company,Size,CEO,CEO email,Site,LI,Industry,Industry2,Address,City,State,Zip,Added,,,
InterviewUp/ThinkOptimal/optimalresume,20-30,Dave McNasby,,thinkoptimal.com,,,,1000 Centre Green Way,Cary,NC,27513,2018,,,
JouleBug,,,,,,,,,,,,2017,,,
K4 Connect,10-50,F. Scott Moody,,www.k4connect.com,https://www.linkedin.com/company/k4connect,IoT,,19 W Hargett St.,Raleigh,NC,27601,2016,,,
Keen Decision Systems,10,Greg Dolan,,keends.com,https://www.linkedin.com/company/1989780/,,,,,,,2018,,,
Keona Health,50-100,Oakkar Oakkar,,www.keonahealth.com,https://www.linkedin.com/company/keona-health,HealthTech,,100 Europa Center,Chapel Hill,NC,27517,2016,,,
LearnPlatform,10-50,Karl Rectanus,,www.learntrials.com,https://www.linkedin.com/company/lea-r-n,EdTech,SaaS,310 S Harrington St.,Raleigh,NC,27603,2016,,,
macgregorpartners,50,Jason Ziegler,,macgregorpartners.com,https://www.linkedin.com/company/3561805/,,,,,,,2018,,,
Magnus Health,10-50,James Burns,,www.magnushealth.com,https://www.linkedin.com/company/magnus-health,EdTech,SaaS,323 W Martin St.,Raleigh,NC,27601,2016,,,
Map My Customers,10,Matthew Sniff,,mapmycustomers.com,https://www.linkedin.com/company/6625355/,,,,,,,2018,,,
Market Vue Partners,10,David Stirling,,mvue.com,,,,9121 anson way,raleigh,nc,27615,2018,,,
MATI Energy,,,,,,,,,,,,2017,,,
Medfusion,50-200,Vern Davenport,,www.medfusion.com,https://www.linkedin.com/company/medfusion,SaaS,HealthTec,5501 Dillard Dr.,Cary,NC,27518,2016,,,
Medicom,13,Malcom Benitz,,medicom.us,,,,,,,,2018,,,
Memberhub,20-Oct,,,,,,,,,,,,,,
Mindsumo,20-50,Keaton Swett,,http://www.mindsumo.com,https://www.linkedin.com/company/mindsumo/,,,,,,,2019,,,
Mobile Reach,24,Nasrin Azari,,mobilereach.com,https://www.linkedin.com/company/2189106/,,,501 cascade point ln,cary,nc,27513,2018,,,
MobileSmith,10-50,Amir Elbaz,,www.mobilesmith.com,https://www.linkedin.com/company/mobilesmith,Mobile,DevTech,"5400 Trinity Rd., ",Raleigh,NC,27607,2016,,,
Myxx,10,Monica Wood,,www.myxx.io,https://www.linkedin.com/company/10386138/,,,,,,,2018,,,
ndustrial <Ndustrial.io>,10-50,Jason Massey,,www.ndustrial.io,https://www.linkedin.com/company/ndustrial-io,IoT,,733 Foster St.,Durham,NC,27701,2016,,,
Needlepoint.com,10-50,Nancy Young,,www.needlepoint.com,,ecommerce,,3811 Hillsborough St.,Raleigh,NC,27607,2016,,,
Net32,,,,,,,,,,,,2017,,,
Netsertive,50-200,Brenadan Morrisey,,www.netsertive.com,https://www.linkedin.com/company/netsertive,MarTech,,2400 Perimeter Park,Morrisville,NC,27560,2016,,,
"NextLot, Inc.",10-50,Scott Finkelstein,,www.nextlot.com,https://www.linkedin.com/company/nextlot-inc-,MarTech,,7780 Brier Creek Pkwy,Raleigh,NC,27617,2016,,,
Offline Media,10-50,David Shaner,,www.get-offline.com,https://www.linkedin.com/company/offline-media-inc-,consumer,mobile,9410 Leslieshire Dr.,Raleigh,NC,27615,2016,,,
Organic Transit,10-50,Rob cotter,,www.organictransit.com,https://www.linkedin.com/company/organic-transit,Renewable Energy,Vehicle,311 W Corporation St.,Durham,NC,27701,2016,,,
Patagonia Health,10-50,Ashok Mathur,,www.patagoniahealth.com,https://www.linkedin.com/company/patagonia-health,HealthTech,SaaS,1915 Evans R.d,Cary,NC,27513,2016,,,
PatientPay,,,,,,,,,,,,2017,,,
Pawboost,10-20,Tim Kijewski,,http://www.pawboost.com,https://www.linkedin.com/company/findfido/about/,,,,,,,2019,,,
Pendo,50-200,Todd Olson,,www.pendo.io,https://www.linkedin.com/company/pendo,DevTech,SaaS,310 S. Harrington St.,Raleigh,NC,27601,2016,,,
Percona,150,Peter Zaitsev,,percona.com,https://www.linkedin.com/company/421929/,,,,,,,2018,,,consulting?
Phononic,,,,,,,,,,,,2017,,,
Photofy,10-50,John LaNasa,,www.photofy.com,https://www.linkedin.com/company/photofy,MarTech,consumer,107 Fayetteville St.,Raleigh,NC,27601,2016,,,
PrecisionHawk,10-50,Bob Young,,www.precisionhawk.com,https://www.linkedin.com/company/winehawk-labs-unmanned-systems-innovation,AdTech,Drones,9001 Glenwood Ave.,Raleigh,NC,27617,2016,,,
ProAxion,10-20,Justin Rothwell,,http://www.proaxion.io,https://www.linkedin.com/company/proaxion-inc/,,,,,,,2019,,,
ProcessMaker,150-200,Brian Reale,,http://www.processmaker.com,https://www.linkedin.com/company/processmaker/,,,,,,,2019,,,
Produce Box,50-200,Courney Rellefsen,,www.theproducebox.com,https://www.linkedin.com/company/the-produce-box,OnDemand,Veggies,900 Withers Rd.,Raleigh,NC,27603,2016,,,
Proficient Auto,10-20,Robert Koencamp,,www.raleighvehiclerepair.com,https://www.linkedin.com/company/proficient-auto-mobile-mechanics-inc/,,,,,,,2019,,,
Prometheus Group,,,,,,,,,,,,,,,
Pryon,,,,,,,,,,,,,,,
Quantifize,10-50,Adam O'Donnell,,www.quantifize.com,https://www.linkedin.com/company/quantifize,edTech,GovTech,11 Glenwood Ave.,Raleigh,NC,27603,2016,,,
